country,year,tiva2022_gfcf_import_content_raw,trade_z,liq_fa_net_worth_raw,liq_z,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,log_gdp_pc_z
LTU,2001,0.42952,0.00189102189158,-0.389563718437,1.22081150741,10357.965525,9.24551111863,-2.5144713529
LTU,2002,0.44482,0.153607690856,-0.433584587407,1.14644902508,11143.21503,9.31858607418,-2.32400686778
LTU,2003,0.42621,-0.03093134244,-0.428538015904,1.15497397229,12419.54202,9.42702648041,-2.0413649423
LTU,2004,0.44348,0.140320087169,-0.533684641638,0.977354486794,13376.39187,9.5012466314,-1.84791558968
LTU,2005,0.44558,0.161143943694,-0.556004002668,0.939651389854,14647.183365,9.59200333419,-1.61136493373
LTU,2006,0.44156,0.121281132632,-0.516991949866,1.00555270337,15983.34642,9.67930261041,-1.38382580525
LTU,2007,0.4131,-0.160931703886,-0.530135254752,0.983350307089,17966.371605,9.79625704537,-1.0789926915
LTU,2008,0.38101,-0.479140063826,-0.540386315864,0.966033648682,18623.777535,9.83219440539,-0.985324611619
LTU,2009,0.36796,-0.608545457943,-0.43943500102,1.1365661834,16037.383395,9.68267773813,-1.37502878366
LTU,2010,0.3266,-1.01867627026,-0.494816255413,1.04301311079,16447.27362,9.70791500507,-1.30924970765
LTU,2011,0.33844,-0.901269383945,-0.482254139521,1.06423373053,17886.765915,9.79181638403,-1.09056694795
LTU,2012,0.36026,-0.684899598533,-0.50986751062,1.01758769949,18914.259225,9.84767137294,-0.944985036543
LTU,2013,0.36892,-0.599025980675,-0.553354934909,0.944126341374,19865.04639,9.89671700351,-0.817151215714
LTU,2014,0.35764,-0.710879838578,-0.530223756595,0.98320080489,20782.88418,9.94188505098,-0.699424029413
LTU,2015,0.38561,-0.433525901915,-0.538323268529,0.969518662145,21563.388975,9.97875220075,-0.603332521091
LTU,2016,0.42424,-0.0504661030845,-0.593340666191,0.876580236416,22399.512315,10.016794466,-0.50417816101
LTU,2017,0.44543,0.159656525371,-0.579629375559,0.899742105574,23718.541695,10.0740123712,-0.355043908515
LTU,2018,0.45246,0.229366864117,-0.571601439907,0.913303337711,25092.13524,10.130309739,-0.208308969347
LTU,2019,0.43241,0.0305486149182,-0.626088563583,0.821260680077,26341.57554,10.178903789,-0.0816521599116
LTU,2020,0.42134,-0.0792228573327,-0.736633734278,0.634521674366,26359.5,10.1795840203,-0.0798791871568
LTU,2021,0.45942,0.298383074313,-0.807891502422,0.514149118164,28064.95965,10.2422770896,0.0835256768373
LTU,2022,0.44994,0.204378236288,-0.728767119203,0.647810394879,28520.715405,10.2583859585,0.125512256204
LTU,2023,,,-0.730861041215,0.644273226208,28331.981385,10.2517465298,0.108207074709
LTU,2024,,,-0.730108536866,0.645544398101,29021.8095,10.275802878,0.170908173052
LUX,1995,0.4717,0.420153054371,-0.92270258745,0.320203894433,55359.4646,10.921602919,1.85413837655
LUX,1996,0.48141,0.516438600492,-0.923679238979,0.318554080748,55463.056704,10.9234724331,1.85901112729
LUX,1997,0.5135,0.834646960431,-0.943039990734,0.285848829947,57718.716352,10.9633367734,1.96291459179
LUX,1998,0.52576,0.956218618046,-0.917792698979,0.328497949122,60796.881728,11.0152937793,2.09833669769
LUX,1999,0.5473,1.16981188926,-0.813167346383,0.505236871258,64831.521568,11.079547208,2.26580852346
LUX,2000,0.55983,1.29406089985,-0.812925258853,0.505645818879,68435.436344,11.1336460447,2.40681315344
LUX,2001,0.57125,1.40730301486,-0.834316726619,0.469510170471,69758.767056,11.1527983843,2.45673231506
LUX,2002,0.54017,1.09910993829,-0.816293565657,0.499955889057,71237.09648,11.1737689797,2.51139062606
LUX,2003,0.5261,0.959590099579,-0.856908640996,0.431346661371,72195.907608,11.1871386419,2.54623766521
LUX,2004,0.54641,1.16098654054,-0.915141861835,0.332975889583,74224.13196,11.2148446049,2.61845121526
